Rentree_Scolaire,Region,Academie,Departement,Commune,Numero_Du_College,Denomination_Principale,Patronyme,Secteur,Nombre_D_Eleves_Total,PRIVE,PUBLIC,priporitaire
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,BORDEAUX,0332082J,COLLEGE,EDOUARD VAILLANT,PUBLIC,477,0,1,1
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,BORDEAUX,0332491D,COLLEGE PRIVE,ALBERT LE GRAND,PRIVE,200,1,0,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,BORDEAUX,0332496J,LYCEE PROF PRIVE DES METIERS,STE FAMILLE -SAINTONGE,PRIVE,8,1,0,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,BORDEAUX,0333531J,COLLEGE,DE BORDEAUX LAC,PUBLIC,214,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,BOURG,0332341R,COLLEGE,JACQUES PREVERT,PUBLIC,597,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,CARBON-BLANC,0333132A,COLLEGE,SIMONE VEIL,PUBLIC,638,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,CASTILLON-LA-BATAILLE,0330064R,COLLEGE,ALIENOR D AQUITAINE,PUBLIC,417,0,1,1
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,CUDOS,0332327A,COLLEGE PRIVE,ST CLEMENT,PRIVE,186,1,0,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,HOURTIN,0330081J,COLLEGE,JULES CHAMBRELENT,PUBLIC,424,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,LANGON,0330082K,LP LYCEE DES METIERS,SUD GIRONDE,PUBLIC,13,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,LANGON,0330083L,COLLEGE,JULES FERRY,PUBLIC,603,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,LIBOURNE,0330162X,COLLEGE,EUGENE ATGET,PUBLIC,373,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,MERIGNAC,0330145D,COLLEGE,CAPEYRON,PUBLIC,551,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,MERIGNAC,0331668J,LYCEE PROFESSIONNEL,MARCEL DASSAULT,PUBLIC,22,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,MONSEGUR,0330100E,COLLEGE,ELEONORE DE PROVENCE,PUBLIC,245,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,PAREMPUYRE,0332569N,COLLEGE,PORTE DU MEDOC,PUBLIC,652,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,PAUILLAC,0331644H,COLLEGE PRIVE,ST JEAN,PRIVE,325,1,0,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,PESSAC,0331758G,COLLEGE,NOES,PUBLIC,731,0,1,0
2022,NOUVELLE-AQUITAINE,BORDEAUX,GIRONDE,PODENSAC,0330108N,COLLEGE,GEORGES BRASSENS,PUBLIC,675,0,1,0
